name,code,city_code,state_code,country_code
Negarbo(Negabo) Airport,GBF,,PG-CPK,PG
Manguna Airport,MFO,,PG-EBR,PG
Kasonombe Airport,KSB,,PG-MPL,PG
Nomane Airport,NMN,,PG-CPK,PG
Nambaiyufa Airport,NBA,,PG-CPK,PG
Lae Nadzab Airport,LAE,LAE,PG-MPL,PG
Konge Airport,KGB,,PG-MPL,PG
Oksapmin Airport,OKP,,PG-SAN,PG
Komako Airport,HOC,,PG-GPK,PG
Komaio Airport,KCJ,,PG-GPK,PG
Koroba Airport,KDE,,PG-HE,PG
Pangoa Airport,PGB,,PG-WPD,PG
Pangia Airport,PGN,,PG-SHM,PG
Mapoda Airport,MPF,,PG-WPD,PG
Pumani Airport,PMN,,PG-MBA,PG
Port Moresby Jacksons International Airport,POM,POM,PG-NCD,PG
Sopu Airport,SPH,,PG-CPM,PG
Sialum Airport,SXA,,PG-MPL,PG
Rumginae Airport,RMN,,PG-WPD,PG
Karimui Airport,KMR,,PG-CPK,PG
Maramuni Airport,MWI,,PG-EPW,PG
May River Airstrip,MRH,,PG-ESW,PG
Suabi Airport,SBE,,PG-WPD,PG
Simberi Airport,NIS,,PG-NIK,PG
Sila Airport,SIL,,PG-NPP,PG
Sabah Airport,SBV,,PG-NSB,PG
Simbai Airport,SIM,,PG-MPM,PG
Selbang Airport,SBC,,PG-WPD,PG
Sepik Plains Airport,SPV,,PG-ESW,PG
Sauren Airport,SXW,SXQ,PG-WBK,PG
Masa Airport,MBV,,PG-MPL,PG
Tari Airport,TIZ,,PG-HE,PG
Tabubil Airport,TBG,,PG-WPD,PG
Tapini Airport,TPI,,PG-CPM,PG
Tokua Airport,RAB,RAB,PG-EBR,PG
Tekin Airport,TKW,,PG-SAN,PG
Tep Tep Airport,TEP,,PG-MPM,PG
Tsewi Airport,TSW,,PG-MPL,PG
Tarakbits Airport,TRJ,,PG-WPD,PG
Tawa Airport,TWY,,PG-MPL,PG
Tekadu Airport,TKB,,PG-MPL,PG
Aiyura Airport,AYU,,PG-EHG,PG
Umba Airport,UMC,,PG-MPL,PG
Uroubi Airport,URU,,PG-NPP,PG
Upiara Airport,UPR,,PG-WPD,PG
Uvol Airport,UVO,,PG-EBR,PG
Talasea Airport,TLW,,PG-WBK,PG
Torembi Airport,TCJ,,PG-ESW,PG
Vanimo Airport,VAI,,PG-SAN,PG
Tonu Airport,TON,,PG-NSB,PG
Wabo Airport,WAO,,PG-GPK,PG
Wapenamanda Airport,WBM,,PG-EPW,PG
Wawoi Falls Airport,WAJ,,PG-WPD,PG
Wewak International Airport,WWK,,PG-ESW,PG
Wonenara Airport,WOA,,PG-EHG,PG
Wasu Airport,WSU,,PG-MPL,PG
Woitape Airport,WTP,,PG-CPM,PG
Wau Airport,WUG,,PG-SAN,PG
Yeva Airport,YVD,,PG-MPL,PG
Sim Airport,SMJ,,PG-MPL,PG
Weam Airport,WEP,,PG-WPD,PG
Arugam Bay SPB,AYY,,LK-5,LK
Yalumet Airport,KYX,,PG-MPL,PG
Yasuru Airport,KSX,,PG-MPL,PG
Zahn's Airport,AYZ,,US-NY,US
Wasum Airport,WUM,,PG-WBK,PG
Zabrat Airport,ZXT,,AZ-BA,AZ
Lava Falls Heliport,HAE,,US-AZ,US
Amazon Bay Airport,AZB,,PG-CPM,PG
Bali Airport,BAJ,,PG-WBK,PG
Baibara Airport,BAP,,PG-CPM,PG
Branson Airport,BKG,,US-MO,US
Baca Grande Airfield,BCJ,,US-CO,US
Bambu Airport,BCP,,PG-MPM,PG
Benguera Island Airport,BCW,,MZ-I,MZ
Milyakburra Airport,BCZ,,AU-NT,AU
Willmar Municipal -John L Rice Field,ILL,,US-MN,US
Baindoung Airport,BDZ,,PG-MPL,PG
Bereina Airport,BEA,,PG-CPM,PG
Berlin Brandenburg Airport (U.C.),BER,BER,DE-BR,DE
Malevo Airport,HKV,,BG-26,BG
Bezmer Air Base,JAM,,BG-28,BG
Aasiaat Airport,JEG,,GL-U-A,GL
Tasiilaq Heliport,AGM,,GL-U-A,GL
Alluitsup Paa Heliport,LLU,,GL-U-A,GL
Aappilattoq (Kujalleq) Heliport,QUV,,GL-U-A,GL
Arsuk Heliport,JRK,,GL-U-A,GL
Ammassivik Heliport,QUW,,GL-U-A,GL
Attu Heliport,QGQ,,GL-U-A,GL
Narsarsuaq Airport,UAK,,GL-U-A,GL
Qasigiannguit Heliport,JCH,,GL-U-A,GL
Neerlerit Inaat Airport,CNP,,GL-U-A,GL
